종목명,업종명,시가총액
SK이노베이션,화학,"21,385,177,682,000"
넥센타이어1우B,화학,"21,287,500,000"
녹십자홀딩스2우,일반서비스,"21,276,648,500"
참엔지니어링,기계·장비,"21,182,906,784"
삼영전자,전기·전자,"209,200,000,000"
삼익THK,기계·장비,"209,160,000,000"
KSS해운,운송·창고,"207,080,343,600"
제일약품,제약,"206,897,549,040"
교촌에프앤비,유통,"206,855,431,200"
만호제강,금속,"206,670,000,000"
한화갤러리아,유통,"206,072,765,430"
도화엔지니어링,일반서비스,"202,320,000,000"
대신증권2우B,증권,"202,000,000,000"
동성케미컬,화학,"200,707,164,000"
이연제약,제약,"200,551,690,690"
하나제약,제약,"200,478,830,880"
SHD,금속,"20,713,669,900"
한국주강,기계·장비,"20,458,449,531"
삼성화재,보험,"20,359,936,087,500"
일정실업,섬유·의류,"20,340,000,000"
고려아연,금속,"20,175,023,309,000"
한온시스템,기계·장비,"2,956,010,913,960"
현대엘리베이터,기계·장비,"2,931,928,875,000"
두산퓨얼셀,전기·전자,"2,871,899,885,100"
HD현대인프라코어,기계·장비,"2,870,538,817,600"
에스원,일반서비스,"2,838,538,596,600"
효성,기타금융,"2,718,642,096,800"
서울식품우,음식료·담배,"2,711,665,500"
더존비즈온,IT 서비스,"2,691,914,662,400"
한미사이언스,기타금융,"2,687,787,915,000"
동양2우B,비금속,"2,647,522,020"
동서,유통,"2,637,065,000,000"
